index,skt,eva,prep,slt,ssrd,sm
230,298.6695786,-7.34E-05,0,3.000045778,517265.6082,0.364790082
231,298.8301885,-0.000125344,0,3.000045778,662519.6012,0.37003693
232,298.9741052,-8.33E-05,0,3.000045778,456003.3918,0.351490587
233,300.2823216,-0.000100466,0,3.000045778,764869.8684,0.348505884
234,300.5652121,-0.000118348,0,3.000045778,897952.1148,0.353725553
235,299.1625908,-0.000118395,0,3.000045778,848256.4199,0.331423759
236,296.1853127,-7.89E-05,0,3.000045778,398170.7835,0.372227162
237,295.0501854,-0.000100096,0,3.000045778,302343.4964,0.355444044
238,296.6322164,-5.22E-05,0,3.000045778,220032.9004,0.350656211
239,298.8326195,-0.000113345,0,3.000045778,857469.2889,0.331156313
240,293.7792448,-7.28E-05,0.400000006,3.000045778,232137.3998,0.350943595
241,295.8317604,-0.000133497,0,3.000045778,846911.4756,0.343451947
242,296.5966424,-8.99E-05,3.5,3.000045778,667159.6593,0.333644271
243,293.6815985,-4.98E-05,7.099999905,3.000045778,66910.98286,0.401251107
244,295.3869636,-8.48E-05,9,3.000045778,576712.1498,0.378691554
245,296.3611569,-8.76E-05,9.100000381,3.000045778,501529.759,0.400619239
246,294.7213485,-4.91E-05,0.5,3.000045778,200329.4653,0.405155957
247,296.1763179,-8.46E-05,0,3.000045778,357889.6993,0.369411469
248,294.6574936,-8.82E-05,8.199999809,3.000045778,655862.1265,0.371346742
249,291.3085925,-6.76E-05,0,3.000045778,22057.08782,0.399680167
250,293.7086639,-9.23E-05,0,3.000045778,667899.3787,0.368434876
251,296.5177961,-6.43E-05,0,3.000045778,557008.7146,0.37709713
252,297.3231951,-4.37E-05,0,3.000045778,203422.8373,0.37612766
253,295.2440192,-7.18E-05,0,3.000045778,415520.5659,0.36967957
254,295.6505679,-5.24E-05,0,3.000045778,390101.1172,0.391979337
255,294.9160738,-3.78E-05,0.400000006,3.000045778,287145.625,0.357882082
256,294.7805035,-6.32E-05,0,3.000045778,393530.7253,0.381452978
257,294.5574163,-5.70E-05,0,3.000045778,420496.8601,0.376365781
258,295.160635,-6.80E-05,0,3.000045778,601324.6319,0.348946154
259,294.2532139,-6.62E-05,0,3.000045778,657408.8125,0.365975499
260,294.0857162,-7.72E-05,0,3.000045778,783833.5842,0.330977321
261,293.5938385,-7.35E-05,0,3.000045778,809118.5385,0.349000216
262,293.0746522,-7.94E-05,0,3.000045778,704212.8769,0.346319795
263,293.1960415,-7.81E-05,0,3.000045778,799031.4557,0.344577521
264,293.9491735,-7.44E-05,0,3.000045778,788204.6534,0.348062664
265,293.1188159,-6.55E-05,0,3.000045778,493594.5872,0.353448868
266,293.7026674,-7.31E-05,0,3.000045778,655122.4071,0.333131969
267,291.1492793,-3.83E-05,2.100000143,3.000045778,255404.9376,0.251012415
268,293.1514727,-6.41E-05,0.300000012,3.000045778,523654.094,0.348628551
269,292.0952727,-4.63E-05,0.300000012,3.000045778,228371.5556,0.326241106
270,291.3363873,-2.08E-05,1.100000024,3.000045778,113244.3167,0.362689167
271,291.1401224,-4.03E-05,0.100000001,3.000045778,356208.5188,0.226981759
272,288.4482468,-7.43E-05,0,3.000045778,740122.8919,0.344473273
273,289.5546069,-5.55E-05,0,3.000045778,722369.6261,0.330636144
274,291.3658027,-5.67E-05,0,3.000045778,655055.1599,0.330262035
275,287.9875673,-8.18E-05,0,3.000045778,720284.9623,0.328689724
276,291.8929303,-5.24E-05,0.100000001,3.000045778,572273.8333,0.298492521
277,288.5456499,-7.69E-05,0,3.000045778,656467.3515,0.321741343
278,290.0573432,-6.01E-05,0,3.000045778,675767.3033,0.335930526
279,291.9402543,-4.54E-05,0,3.000045778,641874.705,0.32347244
280,291.001878,-3.30E-05,0,3.000045778,390504.6005,0.321529984
281,291.2444945,-3.36E-05,0,3.000045778,372347.8514,0.322276831
282,290.9292714,-3.41E-05,0,3.000045778,595743.1128,0.312240422
283,290.0878931,-3.10E-05,0,3.000045778,593187.7184,0.302727818
284,291.5435107,-2.60E-05,0,3.000045778,536431.0656,0.300542325
